,Name,Price,Mileage,Condition,Year,locations
4500,Toyota Highlander,"₦ 13,515,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
4501,Mercedes-Benz C 300,"₦ 13,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
4502,Mercedes-Benz C 300,"₦ 13,015,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
4503,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
4504,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
4505,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
4506,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
4507,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
4508,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
4509,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
4510,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
4511,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
4512,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
4513,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
4514,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
4515,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
4516,Toyota Lexus RX 450h,"₦ 8,265,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
4517,Toyota Venza,"₦ 8,265,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
4518,Toyota Camry,"₦ 10,725,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
4519,Acura MDX,"₦ 11,315,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
4520,Toyota Camry,"₦ 8,015,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
4521,Toyota Highlander,"₦ 7,015,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
